Which of the music on the epic 1982 album “Thriller” was recorded by members of what 80s group?	TOTO
What famous piece of classical music is memorably featured in the 1980 film “Ordinary People”?	PACHEBEL’s CANON
The well-known phrase “a clear and present danger” was coined in 1919 by which of the following?	SUPREME COURT JUSTICE
Though most trees have a layer of cork bark, most of the world’s supply of cork comes from what?	OAK
The popular surfing expression “Cowabunga”originated on which of these TV shows?	THE HOWDY DOODY SHOW
What famous wit reputedly said on his deathbed, “Either that wallpaper goes or I do?”	OSCAR WILDE
What is the first name of the Star Trek character often referred to by Captain Cook as Mr. Sulu/	HIKARU
Made by Corning, the hard, scratch-resistant glass found on countless tablets and smartphones is called what?	GORILLA GLASS
Originally called “Cadabra,” what country changed its name after someone misheard it as “cadaver?”	AMAZON.COM
At just 21, who was the youngest woman ever to receive an Oscar for Best Actress?	MARLEE MATLIN
With a total of eight born there, what state has produced more U.S. presidents than any other?	VIRGINIA
The late rapper Tupac Shukar was named after Tupac Amaru II, an 18th century revolutionary in what country?	PERU
As Scar in “The Lion King,” Jeremy Irons repeats what famous line from “Reversal of Fortune”?	“YOU HAVE NO IDEA.”
After the Wright brothers’ historic flight, how long did it take for man to walk on the moon?	66 YEARS
What beer’s label features the phrase “Anno 1366,” referring to the year it was first allegedly brewed?	STELLA ARTOIS
Which of these classic works of literature features the first known use of the word “Satanic”?	PARADISE LOST
Which of these exotic islands is known to locals as Rapa Nui?	EASTER ISLAND
What Central American country was named by Columbus after the Spanish word for “depths”?	HONDURAS
A rare example of a word that rhymes with “orange,” the Blorenge is a what?	MOUNTAIN IN WALES
Though she would later don countless outfits, the first Barbie doll, sold in 1959, was wearing what?	ZEBRA STRIPED SWIMSUIT
Which of these famous plays ends with a woman blowing out candles?	A GLASS MANAGERIE
Though most famous for other endeavors, which businessman is known for inventing the charcoal briquette?	HENRY FORD
“Red Vineyard at Arles” is believed to be the only painting sold by what artist during his lifetime?	VINCENT VAN GOGH
The subject of Richard Wagner’s famous composition “Ride of the Valkyries,” a Valkyry is a what?	NORSE HANDMAIDEN
The Cabinet member who is last in the presidential line of succession is the Secretary of what?	HOMELAND SECURITY
Because its spelling was not firmly established at the time, what word is misspelled on the Liberty Bell?	PENNSYLVANIA
The fictional Columbian town of Macondo is the setting of which of these classic novels?	ONE HUNDRED YEARS OF SOLITUDE
What was the occupation of Edward A. Murphy, Jr, the supposed namesake of “Murphy’s Law”?	ENGINEER
The bikini takes its name from the Bikini Atoll, a coral formation located in what Pacific Island group?	MARSHALL ISLANDS
In 1997, the idea for Netflix was hatched when its founder was charged a $40 later fee on what movie rental?	APOLLO 13
What is the rough translation of “buzkashi,” the name of a popular sport in Afghanistan?	GOAT-GRABBING
What famous thinker is credited with inventing the cat flap, a small hole in a door pets use to enter and exit?	ISAAC NEWTON
In 1925, dogsledders in Alaska mushed 700 miles to deliver a serum that halted an outbreak of what disease?	DIPTHERIA
What U.S. president reportedly once hosted a seance in the White House to ask the spirits for political advice?	ABRAHAM LINCOLN
In 1667, the Dutch traded Manhattan for the tiny Indonesian island of Run, valuable for its abundance of what spice?	NUTMEG
In the therapy scene in “Austin Powers,” Dr. Evil makes all but which of the following claims about his childhood?	HE COLLECTED ABNORMAL RODENTS
Coveted for its flavor and relatively healthy fat content, wagyu is a variety of what type of meat?	BEEF
Which of these does not complete a real title in the “Chicken Soup” series of inspirational books?	FOR THE SQUARE DANCER’S SOUL
Retail giant Richard Sears began his career in 1886 when he started a company that sold what?	WATCHES
Born Marguerite Johnson, what writer adopted her professional name while a dancer at cabaret?	MAYA ANGELOU
Who is Oscar Zoroaster Phadrig Isaac Norman Henkle Immanuel Ambrose Diggs?	THE WIZARD OF OZ
In 1985, David Letterman aired his Top Ten list, “Top Ten Things That Almost Rhyme With” what?	PEAS
Which of these science fiction authors is credited with the invention of the word “robotics”?	ISAAC ASIMOV
The events described in the classic novel “Catcher in the Rye” take place over how many days?	3 *CORRECT*
Bluetooth, a wireless technology used to link mobile devices, is named for a former king of what country?	DENMARK
What writer coined the term “atomic bomb” approximately thirty years before its invention?	H.G. WELLS
What state can boast that it has produced the most Miss America Pageant winners?	TEXAS
In an early screen role, what actor played “Hold Up Man” in the 1988 comedy “Coming to America”?	SAMUEL L. JACKSON
After Ronald Reagan was shot in 1981, what boxer did he quote when he said, “Honey, I forgot to duck”?	JACK DEMPSEY
Allegedly the monthly cost of a baby in 1989, what did Maggie originally “scan” in at the opening of “The Simpsons”?	$847.63 *CORRECT*
What would be the title of “Thelma and Louise” if the characters’ last names replaced their first names?	DICKINSON AND SAWYER
Deltiology is the study of collecting what everyday object?	POSTCARDS
Which of these materials is used by Tibetan Buddhhists to construct circular diagrams called mandalas?	SAND
Influenza was named in the 15th century by Italians who believed it was caused by the influence of what?	STARS AND PLANETS
“Red Vineyard at Arles” is believed to be the only painting sold by what artist during his lifetime?	VINCENT VAN GOGH
Which of these words cannot be turned into its own opposite by replacing “less” with “ful”?	WIRELESS
Which of these classic novels was published when the author was only 20 years old?	FRANKENSTEIN
In 1999, Al Gore famously said, “I took the initiative in creating the Internet” to what journalist?	WOLF BLITZER
Like TV’s “Lost,” which of these movies features a fictional airliner called “Oceanic”?	EXECUTIVE DECISION
Written by Joe David Brown, the novel “Addie Pray” was adapted into what critically acclaimed 1973 film?	PAPER MOON
Long before “Clash of the Titans,” whose 1870 novel made mention of the mythical creature kraken?	JULES VERNE
Registered in 1870, which of these advertising icons is the oldest U.S. food trademark still in use today?	UNDERWOOD DEVIL
For his contributions to food technology, Frenchman Nicholas Appert is known as “The Father of” what?	CANNING
On June 9, 1790, the first ever U.S. copyright was issued for a book about what?	SPELLING
Of the planets in our solar system, where does Earth rank in terms of size?	FIFTH-LARGEST
Who wrote the famous poem that begins, “A thing of beauty is a joy forever”?	JOHN KEATS
As detailed in the 2010 film, how did Penny Chenery come to own the legendary racehorse Secretariat?	COIN TOSS
On the classic cartoon series “Scooby-Doo, Where Are You?” what is Shaggy’s real name?	NORVILLE ROGERS
What team were the Yankees playing the night Lou Gehrig delivered his famous “Luckiest Man” speech?	WASHINGTON SENATORS
What is the unlikely author of both the “Texas Saw Chain Massacre” and its 2003 remake?	JOHN LARROQUETTE
While at the White House, what was George W. Bush’s unusual writing implement of choice?	SHARPIE
What does an oniomaniac love to do?	SHOP
Contrary to popular belief, Robert E. Lee’s surrender took place not in a courthouse, but in whose home?	THE MCLEANS
Every single baseball used in the U.S. Major leagues is painstakingly hand-sewn in what country?	COSTA RICA
Measuring over 9000 miles in length, what country’s Highway 1 forms a complete loop along its borders?	AUSTRALIA
A Sistine chapel fresco depicts God and Adam almost touching which two of their outstretched hands?	GOD’S RIGHT AND ADAM’S LEFT
In 2010, which of these movies enjoyed the vicennial anniversary of its original release?	GOODFELLOWS
Approximately how long does it take for light from the sun to reach the Earth?	8 MINUTES
In the Bizet opera “Carmen,” flirtatious Carmen works in what type of establishment?	CIGARETTE FACTORY
In the James Bond movies, Bond’s only marriage was to a “bond girl” played by whom?	DIANA RIGG
According to Doris Roberts, “Everybody Loves Raymond” doesn’t air in what country?	IRAQ
What author, who ironically once wrote “There are no second acts in American lives” only lived to age 44?	F. SCOTT FITGERALD
On July 12, 2000, Russia launched a rocket into space bearing the corporate logo of what company	PIZZA HUT
Nominated five times, which of these Hollywood legends never won an Oscar for Best Director?	ALFRED HITCHCOCK
Popular with gourmet chefs, Jerusalem artichokes are not artichokes, but a species of what?	SUNFLOWER
The real-life St. Nicholas is known to have been a bishop in a region that is not part of what country?	TURKEY
Opus Dei, the controversial Roman Catholic organization, was founded in 1928 in what country?	SPAIN
What company was started in 1907 by two Seattle teenagers with a $100 loan and a bicycle?	UPS (CORRECT)
Housewife Josephine Dickson’s clumsy mishaps prompted her hubby to invent what product in 1920?	BAND AID BANDAGES
What does an oniomaniaic love to do?	SHOP
As specified on his Twitter page, Barbie’s boyfriend Ken has what last name?	CARSON
E. Gary Gygax is a hero to generations of nerds because he co-created what?	DUNGEONS AND DRAGONS
The original Declaration of Independence is housed in a sealed case filled with what inert gas?	ARGON
Brides in what country place sugar lumps in their gloves to ensure a “sweet” life?	GREECE
What artist popularized the use of the elephant and donkey as symbols of our two main political parties?	THOMAS NAST
The Fort McHenry flag that inspired the composition of “The Star-Spangled Banner” had how many stars?	15 *CORRECT*
The coffee tree is believe to have originated in the Kaffa region of what present-day country?	ETHIOPIA
At the age of 19, what future politician married his 26 year old high school geometry teacher?	NEWT GINGRICH
Which of these men caused controversy as a fierce opponent of the United States’ entry into WWII?	CHARLES LINDBERGH
Which of these cheeky lyrics is not in Spinal Tap’s ode to the backside “Big Bottom”?	CAN I CALL YOU FANNY?
Which of these foreign-language editions of Scrabble omits the letters J, K, W, X, and Y from its tiles?	ITALIAN
In Margaret Mitchell’s early drafts of “Gone With the Wind,” what was Scarlett O Hara’s first name?	PANSY
A southpaw boxer is typically left-handed, but which of these terms describes a right-handed fighter?	ORTHODOX
Who wrote the 1865 book of poetry “Drum-Taps,” while a war correspondent for the New York Times?	WALT WHITMAN
In the racy French phrase “menage a trois,” the word “menage” literally means what?	HOUSEHOLD
Derived from the Greek word for “fire,” pyrexia is another term for what medical condition?	FEVER
Jon Bon Jovi once said that he held itunes and what CEO personally responsible for “killing the music business”?	STEVE JOBS
In 1876, Alexander Graham Bell famously shouted “Mr. Watson, come here!” because he had just done what?	SPILLED ACID ON HIS CLOTHES
On the TV series “Gilligan’s Island,” what is Mrs. Lovey Howell’s first name?	EUNICE
What line appeared on the reverse side of President Truman’s “The Buck Stops Here” desk sign?	I”M FROM MISSOURI
Patzer is slang for someone who is bad at playing what?	CHESS
The U.S. icon “Uncle Sam” was based on Samuel Wilson, who, during the War of 1812, was a what?	MEAT INSPECTOR
On Amelia Earhart’s historic 1932 solo flight across the Atlantic Ocean, she landed in what country?	IRELAND
In February 2010, Apple revealed what chart topping hit as “The Most Downloaded Itunes Song of All Time”?	I GOTTA FEELING
What Hollywood-leading man made his big-screen debut in the 1991 sci-fi comedy “Critters 3”?	LEONARDO DICAPRIO
Whose left arm is buried more than a hundred miles away from the rest of his body?	STONEWALL JACKSON
To a physicist, a quark is a subatomic particle, but to a chef, a quark is a what?	SOFT CHEESE
Mario, Nintendo’s most famous creation, first appeared in “Donkey Kong” not as a plumber but as a what?	CARPENTER
What is the subject of the proposed legislation in the Schoolhouse Rock cartoon “I’m Just a Bill”?	SCHOOL BUS SAFETY
In 2007, what eco-conscious city became the first in the U.S. to ban the use of plastic shopping bags?	SAN FRANCISCO
Though Tom Cruise’s camp says it is Hebrew for “princess,” “Suri” also means what in Japanese?	PICKPOCKET
In 2010, a British mag published “Last Letter,” a draft of a poem by Ted Hughes about what poet’s death?	SYLVIA PLATH
Which of these Disney cartoon characters debuted the earliest, alongside Mickey in “Steamboat Willie”?	MINNIE MOUSE
Chomolunga, or “Goddess Mother of the World,” is a local name for what natural wonder?	MOUNT EVEREST
Forgoing an agent, what actor allegedly forces filmmakers to call a 1800 number and leave voicemails?	BILL MURRAY
Though now mostly void of big-name businesses, London’s Fleet Street is short for what industry?	NEWSPAPER
Used to describe someone who is annoyingly virtuous, the phrase “little two-goody shoes” comes from a what?	OLD CHILDREN’S STORY
In 1892, Juan Vucetich gained notoriety as the first to solve a murder case using what?	FINGERPRINTS
What lovey-dovey couple’s Barbara Walters interview inspired the love song “I don’t wanna miss a thing”?	BARBARA STREISAND AND JAMES BROLIN
Now used to refer to a “snooty person,” the word snob originally referred to a person with what job?	SHOEMAKER
With over 20% of the world’s forests, what nation has more forestland than any other?	RUSSIA
What club did astronaut Alan Shepard use to make his famous golf shot on the moon?	SIX IRON
If Prince Charles assumes the throne and uses “Charles” as his king name, what Charles will he be?	CHARLES III
Which of these cartoon characters is usually squinting?	MR. MAGOO
Santa Domingo and Port a Prince, the capitals of two separate countries, are located on what island?	HISPANIOLA
Which of these potent potables is not one of the 50 official flavors of Jelly Belly jellybeans?	IRISH COFFEE
Originally reading “Hollywoodland,” the “Hollywood” sign was built as a giant advertisement for a what?	HOUSING DEVELOPMENT
In 1982, who became the first professional baseball player to be featured on a U.S. postal stamp?	JACKIE ROBINSON
One of the world’s most famous gems, the Hope Diamond is cut into what classic shape?	CUSHION
What is the name of the east coast peninsula that includes land from Virginia, Delaware, and Maryland?	DELMARVA
Ronald Reagan was famous for his love of Jelly Belly jelly beans, with what flavor being his favorite?	LICORICE
Featuring a stick and a ball, “kolven” is thought to be a 1300s Dutch forerunner of which of these sports?	GOLF
Before he was a legendary Wild West gunslinger, John “Doc” Halliday was what type of doctor?	DENTIST
The voyager space proves traveling to interstellar space bear notes to exterrestrials from what U.S. president?	JIMMY CARTER
“Hypermobility” and “ligamentous laxity” are two ways of describing what common condition?	DOUBLE-JOINTEDNESS
In CB radio lingo, the question “What’s your 20?” is actually asking what?	WHAT IS YOUR LOCATION?
Until switching over to vanilla in the 1940s,Hostess Twinkies had what flavor cream filling?	BANANA
Inaugurated in 1875,what is the oldest continuously running sporting event in the United States?	KENTUCKY DERBY
England coronated Queen Elizabeth II in 1953,how many years after the death of Queen Elizabeth I?	350 *CORRECT*
The first McDonald’s Happy Meal to feature a movie tie-in promoted what popular film?	STAR TREK
The term “slush fund” was originally used by sailors to refer to the side money they made selling what?	ANIMAL FAT
Rejected for financing reasons,a 1937 Congressional bill proposed adding what woman to Mount Rushmore?	SUSAN B.ANTHONY
On the classic sitcom “Gilligan’s Island,” what character’s full name is never revealed on the show?	GILLIGAN
Which piece of U.S. currency was the first to use the motto “In God We Trust”?	TWO-CENT COIN
Which of these actors has appeared in films directed by Spike Lee and Ang Lee?	RANDY QUAID
Only two men are said to have run unopposed for U.S. president:George Washington and whom?	JAMES MONROE
In the 1961 movie “West Side Story”,the Jets battle the Sharks after triumphing over what other gangs?	THE EMERALDS & THE HAWKS
Which of these locales is not mentioned in Martin Luther King Jr.’s famous “I Have A Dream” speech?	BLUE RIDGES OF NORTH CAROLINA
An important Aztec god,Quetzalcoatl was depicted as a feathered version of what animal?	SERPENT
Which author is among the few to have topped both the NY Times Fiction and Non Fiction Bestseller lists?	DR.SEUSS
Though most trees have a layer of cork bark,most of the world’s supply of cork comes from a species of what?	OAK
“And ye shall know the truth and the truth shall set you free” is etched in the lobby of what agency’s headquarters?	CIA *CORRECT*
Kept in an Atlanta bank vault,the secret formula for classic Coca-Cola has what mysterious code name?	MERCHANDISE 7X
Visibly dehydrated,Michael Jordan’s legendary “flu game” came against what 1997 NBA finals opponent?	UTAH JAZZ
Though treasured today,what famous painting was once cut into to enlarge a doorway?	THE LAST SUPPER
Though not toxic in reasonable amounts, which of these foods contains the radioactive element radium?	BRAZIL NUT
Joachim Prinz, who spoke just before Martin Luther King at the 1963 March on Washington, is a what?	RABBI
What was the name of the first chimpanzee sent into space by NASA?	HAM
In 1999, Al Gore famously said, “I took the initiative in creating the Internet” to what journalist?	WOLF BLITZER
Short for Club Mediterranee, Club Med opened its first vacation village in 1950 on what island?	MARJORCA
Since winning a hotly contested election in 2006,Felipe Calderon has been president of what country?	MEXICO
In which of these novels is the last word of the novel the same as the title of the novel itself?	LOLITA
Retired broadcaster Elwood Edwards is the voice for what famous recorded phrase?	YOU’VE GOT MAIL
A person who suffers from gamophobia has an exaggerated fear of what?	MARRIAGE
For ordering his favorite beverages,LBJ had four buttons in the Oval Office:”coffee”,”tea”,”Coke” and what?	FRESCA *CORRECT*
By definition, eustatic change is a worldwide alteration in what?	SEA LEVELS
A 1925 advertisement for what product gave us the saying, “Often a bridesmaid but never a bride”?	LISTERINE
According to Bill Cosby, instead of obstetrician, Cliff Huxtable was originally going to have what job?	CHAUFFEUR
If you were tracking animals and found prints with four toes,not five,which of these animals could they belong to?	COYOTE
Before his film career took off,what actor played a hotel manager on a short-lived “Golden Girls” spin-off?	DON CHEADLE
Now referring to a tactic used to delay legislation,the word “filibuster” originally referred to what outlaws?	PIRATES
As of 2010,approximately how many Social Security numbers have been assigned since the first in 1936?	457 MILLION *CORRECT*
According to the United Nations,who is the most widely translated author in the world?	AGATHA CHRISTIE
Sent by Samuel Morse in 1844,the first public telegram in America had what message?	WHAT HATH GOD WROUGHT!
Excluding honorary awards,which of these computer whizzes actually earned a college degree?	STEVE WOZNIAK
Considered one of the best racehorses of all time,Phar Lap was the national pride of what country?	AUSTRALIA
On July 12,2000,Russia launched a rocket into space bearing the corporate logo of what company?	PIZZA HUT
What film actress’s death was reported on the front page of the debut issue of USA Today?	GRACE KELLY
What Middle Eastern country is composed of a series of islands located in the Persian Gulf?	BAHRAIN
Granting his last wishes,Hunter S.Thompson’s ashes were disposed of in 2005 in what odd way?	SHOT OUT OF A CANNON
Prosopagnosia is an unusual neurological impairment that renders a person unable to do what?	RECOGNIZE FACES
By definition,”deglutition” is a medical term for what?	SWALLOWING
As proven on a David Letterman “Will it Float?”segment,which of these items floats in water?	SIX-POUND CAN OF CRISCO
What is the name of the young boy in Ernest Hemingway’s story “The Old Man and the Sea”?	MANOLIN
In 1922,the highest air temperature ever recorded,136 degrees Fahrenheit,was taken in what country?	LIBYA
Which of these world cities occupy roughly the same latitude?	WASHINGTON,D.C. & ATHENS
